ID,Site,Context,Longitude,Latitude,Country,Archaeological_Unit,File_Name,Reference,Notes
1,Baltašiškės,Baltašiškės,23.99,54.03,Lithuania,Baltic Magdalenian,Bal.1,Rimantienė 1971; 1974,
2,Baroŭka,Baroŭka,30.26,53.51,Belarus,Grensk,Bor.1,Kolasau 2018,(Krasnosillya by Zalyzniak (Borovka))
3,Baroŭka,Baroŭka,30.26,53.51,Belarus,Grensk,Bor.3,Kolasau 2018,(Krasnosillya by Zalyzniak (Borovka))
4,Baroŭka,Baroŭka,30.26,53.51,Belarus,Grensk,Bor.4,Kolasau 2018,(Krasnosillya by Zalyzniak (Borovka))
5,Baroŭka,Baroŭka,30.26,53.51,Belarus,Grensk,Bor.5,Kolasau 2018,(Krasnosillya by Zalyzniak (Borovka))
6,Baroŭka,Baroŭka,30.26,53.51,Belarus,Grensk,Bor.6,Kolasau 2018,(Krasnosillya by Zalyzniak (Borovka))
7,Baroŭka,Baroŭka,30.26,53.51,Belarus,Grensk,Bor.7,Kolasau 2018,(Krasnosillya by Zalyzniak (Borovka))
8,Baroŭka,Baroŭka,30.26,53.51,Belarus,Grensk,Bor.9,Kolasau 2018,(Krasnosillya by Zalyzniak (Borovka))
9,Baroŭka,Baroŭka,30.26,53.51,Belarus,Grensk,Bor.10,Kolasau 2018,(Krasnosillya by Zalyzniak (Borovka))
10,Baroŭka,Baroŭka,30.26,53.51,Belarus,Grensk,Bor.11,Kolasau 2018,(Krasnosillya by Zalyzniak (Borovka))
11,Baroŭka,Baroŭka,30.26,53.51,Belarus,Grensk,Bor.12,Kolasau 2018,(Krasnosillya by Zalyzniak (Borovka))
12,Baroŭka,Baroŭka,30.26,53.51,Belarus,Grensk,Bor.13,Kolasau 2018,(Krasnosillya by Zalyzniak (Borovka))
13,Baroŭka,Baroŭka,30.26,53.51,Belarus,Grensk,Bor.14,Kolasau 2018,(Krasnosillya by Zalyzniak (Borovka))
14,Baroŭka,Baroŭka,30.26,53.51,Belarus,Grensk,Bor.15,Kolasau 2018,(Krasnosillya by Zalyzniak (Borovka))
15,Baroŭka,Baroŭka,30.26,53.51,Belarus,Grensk,Bor.16,Kolasau 2018,(Krasnosillya by Zalyzniak (Borovka))
16,Baroŭka,Baroŭka,30.26,53.51,Belarus,Grensk,Bor.17,Kolasau 2018,(Krasnosillya by Zalyzniak (Borovka))
17,Baroŭka,Baroŭka,30.26,53.51,Belarus,Grensk,Bor.18,Kolasau 2018,(Krasnosillya by Zalyzniak (Borovka))
18,Baroŭka,Baroŭka,30.26,53.51,Belarus,Grensk,Bor.19,Kolasau 2018,(Krasnosillya by Zalyzniak (Borovka))
19,Baroŭka,Baroŭka,30.26,53.51,Belarus,Grensk,Bor.20,Kolasau 2018,(Krasnosillya by Zalyzniak (Borovka))
20,Baroŭka,Baroŭka,30.26,53.51,Belarus,Grensk,Bor.21,Kolasau 2018,(Krasnosillya by Zalyzniak (Borovka))
21,Burdeniszki,Burdeniszki (1D),23.13,54.07,Poland,Wolkushian,Bur1d.1,Szymczak 1995,
22,Burdeniszki,Burdeniszki (4),23.13,54.07,Poland,Wolkushian,Bur4.1,Szymczak 1995,
23,Burdeniszki,Burdeniszki (4),23.13,54.07,Poland,Wolkushian,Bur4.2,Szymczak 1995,
24,Burdeniszki,Burdeniszki (4),23.13,54.07,Poland,Wolkushian,Bur4.6,Szymczak 1995,
25,Chilczyce,Chilczyce,27.77,52.08,Belarus,Perstunian,Chi.1,Szymczak 1991,
26,Derežnyčia,Derežnyčia (31),24.54,54.22,Lithuania,Baltic Magdalenian,Der31.1,Rimantienė 1971; 1974,
27,Derežnyčia,Derežnyčia (31),24.54,54.22,Lithuania,Bromme (Eastern Europe),Der.1,Rimantienė 1971; 1974,
28,Duba,Duba,24.69,54.02,Lithuania,Baltic Magdalenian,Dub.2,Rimantienė 1971; 1974,
29,Duba,Duba,24.69,54.02,Lithuania,Baltic Magdalenian,Dub.3,Rimantienė 1971; 1974,
30,Duba,Duba,24.69,54.02,Lithuania,Baltic Magdalenian,Dub.4,Rimantienė 1971; 1974,
31,Dziewule-Piaski,Dziewule-Piaski (8),22.4,52.05,Poland,Wolkushian,Dz-P8.1,Szymczak 1995,
32,Ežerynas,Ežerynas (8),23.98,54.2,Lithuania,Baltic Magdalenian,Eze.8.1,Rimantienė 1971; 1974,
33,Ežerynas,Ežerynas (8),23.98,54.2,Lithuania,Baltic Magdalenian,Eze.8.2,Rimantienė 1971; 1974,
34,Ežerynas,Ežerynas (9),23.98,54.2,Lithuania,Baltic Magdalenian,Eze9.1,Rimantienė 1971; 1974,
35,Ežerynas,Ežerynas (16),23.98,54.2,Lithuania,Baltic Magdalenian,Eze16.1,Rimantienė 1971; 1974,
36,Ežerynas,Ežerynas (15),23.98,54.2,Lithuania,Baltic Magdalenian,Eze15.1,Rimantienė 1971; 1974,
37,Ežerynas,Ežerynas (17),23.98,54.2,Lithuania,Baltic Magdalenian,Eze17.1,Rimantienė 1971; 1974,
38,Ežerynas,Ežerynas (17),23.98,54.2,Lithuania,Baltic Magdalenian,Eze17.2,Rimantienė 1971; 1974,
39,Glūkas,Glūkas (4),24.56,54.29,Lithuania,Baltic Magdalenian,Glu4.1,Rimantienė 1971; 1974,
40,Glyno Pelka,Glyno Pelka (6),24.29,54.16,Lithuania,Baltic Magdalenian,Gly.pel6.1,Rimantienė 1971; 1974,
41,Gribaša,Gribaša,24.73,54.04,Lithuania,Baltic Magdalenian,Gri.2,Rimantienė 1971; 1974,
42,Gribaša,Gribaša,24.73,54.04,Lithuania,Baltic Magdalenian,Gri.3,Rimantienė 1971; 1974,
43,Gribaša,Gribaša,24.73,54.04,Lithuania,Baltic Magdalenian,Gri.4,Rimantienė 1971; 1974,
44,Gribaša,Gribaša,24.73,54.04,Lithuania,Baltic Magdalenian,Gri.1,Rimantienė 1971; 1974,
45,Kašėtos,Kašėtos,24.35,54.11,Lithuania,Bromme (Eastern Europe),Kas.1,Šatavičius 2001,
46,Kašėtos,Kašėtos,24.35,54.11,Lithuania,Bromme (Eastern Europe),Kas.3,Šatavičius 2001,
47,Katra,Katra (1),24.6,54,Lithuania,Bromme (Eastern Europe),Kat1.1,Šatavičius 2001,
48,Chvojnaja,Chvojnaja,30.46,53.96,Belarus,Grensk,Kho.1,Kolasau 2018,(Krasnosillya by Zalyzniak (Khovina))
49,Chvojnaja,Chvojnaja,30.46,53.96,Belarus,Grensk,Kho.2,Kolasau 2018,(Krasnosillya by Zalyzniak (Khovina))
50,Chvojnaja,Chvojnaja,30.46,53.96,Belarus,Grensk,Kho.3,Kolasau 2018,(Krasnosillya by Zalyzniak (Khovina))
