artefact_id,site,date,classification
1141III-1,Valbygård,II,C
1141III-2,Valbygård,II,A
1148-2,Landsgrav,II,C
1148-5,Landsgrav,II,D
1148-6,Landsgrav,II,C
1148-7,Landsgrav,II,C
1160-1,Svenstrup,II,D
1160-10,Svenstrup,II,A
1160-11,Svenstrup,II,A
1160-12,Svenstrup,II,A
1160-13,Svenstrup,II,A
1160-15,Svenstrup,II,A
1160-16,Svenstrup,II,A
1160-17,Svenstrup,II,A
1160-18,Svenstrup,II,C
1160-19,Svenstrup,II,C
1160-2,Svenstrup,II,D
1160-20,Svenstrup,II,C
1160-21,Svenstrup,II,C
1160-22,Svenstrup,II,C
1160-23,Svenstrup,II,C
1160-3,Svenstrup,II,A
1160-32,Svenstrup,II,A
1160-33,Svenstrup,II,A
1160-34,Svenstrup,II,C
1160-4,Svenstrup,II,A
1160-5,Svenstrup,II,A
1160-6,Svenstrup,II,A
1160-7,Svenstrup,II,A
1160-9,Svenstrup,II,A
1163A-1,Tårnborg,II,C
1163A-2,Tårnborg,II,C
1170,Ormslev,III,E
1274B-1,Ørslev,III,E
1274B-10,Ørslev,III,E
1274B-11,Ørslev,III,E
1274B-12,Ørslev,III,E
1274B-2,Ørslev,III,E
1274B-3,Ørslev,III,E
1274B-4,Ørslev,III,E
1274B-5,Ørslev,III,E
1274B-6,Ørslev,III,E
1274B-7,Ørslev,III,E
1274B-8,Ørslev,III,E
1274B-9,Ørslev,III,E
1283-1,Store-Linde,II,C
1283-3,Store-Linde,II,D
131,Ferslev,II,A
1373-1,Sigerslevvester,II,D
1373-2,Sigerslevvester,II,D
1384,Varpelev,III,C
1409-2,Sydsjælland,II/III,C
1420,Sjælland,II,A
1422-1,Sjælland,II,A
1446-1,Krasmose,III,E
1446-2,Krasmose,III,E
1446-3,Krasmose,III,E
1446-4,Krasmose,III,E
1446-5,Krasmose,III,E
1464C,Stammeshalle,III,E
1482M,Jomfrugård,II,A
1492A-1,Limensgård,II,D
1492A-2,Limensgård,II,D
14A-3,Bakkebjerg,II,C
150-1,Østby,II,A
150-4,Østby,II,C
152,Østby,II,C
1533,Lousgård,II,D
1760,Voldtofte,III,C
1777-1,Torøhuse,II,A
1777-2,Torøhuse,II,A
1777-3,Torøhuse,II,A
1777-4,Torøhuse,II,A
1777-5,Torøhuse,II,A
1777-6,Torøhuse,II,A
180-1,Lynge,III,D
180-2,Lynge,III,C
1820-1,Hasmark,II,D
1820-2,Hasmark,II,D
185A,Sigerslevvester,III,E
1868-1,Vellinge Mose,II,A
1868-2,Vellinge Mose,II,A
1868-3,Vellinge Mose,II,A
1868-4,Vellinge Mose,II,A
1868-5,Vellinge Mose,II,A
1868-6,Vellinge Mose,II,A
1868-7,Vellinge Mose,II,A
1944,Lumbygård,II,D
1960A,Rågelund,III,C
1960B-1,Rågelund,III,E
1960B-2,Rågelund,III,E
1960B-3,Rågelund,III,E
2011B-3,Hesselagergård,II,D
2019,Refsøre,III,C
2022,Davrehøjsmark,II,C
2039-1,Fæbæk,II,C
2138C,Bovense,II,C
2.16E+01,Smidstrupgård,II,D
2.16E+00,Smidstrupgård,II,D
217,Smidstrupgård,II,C
218A,Vallerød,II,D
2234,Haurup,II,D
2266B,Massbüll,II,D
2292-2,Süderschmedeby,II,D
23.jpg,Smidstrup,II,C
2404-1,Schleswig,II,D
2409E,Schuby,III,C
2413-1,Schuby,II,D
2413-2,Schuby,II,D
2414H,Schuby,III,E
243I-1,Præstegårdsmark,II,A
243I-2,Præstegårdsmark,II,C
243I-3,Præstegårdsmark,II,A
2519D,Schoolbek,III,C
2553A,Sehestedt,II,C
2646B,Hedehusum,III,E
266,Farum,II,C
2669-1,Kampen,II,A
2669-2,Kampen,II,A
278,Søsum,II,C
2816,Husum,III,C
281C,Søsum,LBA,D
2831,Ostenfeld,II,C
2844,Schobüll,II,D
294-1,Svenstrup,II/III,C
294-2,Svenstrup,II/III,C
2956-2,Fårhus,III,E
2962B-2,Frøslev,II,C
2979A-1,Padborg,II,A
297F,Store Salby,III,E
299-1,Ølby,II,D
299-2,Ølby,II,D
299-3,Ølby,II,D
3077A,Hønkys,II,C
3378-1,Sundbølgård,II,C
3378-2,Sundbølgård,II,C
3378-3,Sundbølgård,II,C
3378-4,Sundbølgård,II,C
3378-6,Sundbølgård,II,C
3378-7,Sundbølgård,II,C
3443-2,Hennekesdam,II,A
3443-3,Hennekesdam,II,A
347,Smørumnedre,II,D
